Reference Index,type_of_reference,authors,title,year,abstract,start_page,end_page,alternate_title3,volume,number,publisher,doi,First Author
87,JOUR,"['Nguyen, Dang Trang; Taguchi, Kozo']",A disposable water-activated paper-based MFC using dry E. coli biofilm,2019,NA,161,168,Biochemical Engineering Journal,143,NA,,10.1016/j.bej.2018.12.016,Nguyen
88,JOUR,"['Zhao, Cui-e; Gai, Panpan; Song, Rong-Bin; Zhang, Jian-Rong; Zhu, Jun-Jie']",Graphene/Au composites as an anode modifier for improving electricity generation in Shewanella-inoculated microbial fuel cells,2015,"Electricity generation in microbial fuel cells (MFCs) greatly depends on anode materials, which directly affect bacterial attachment on the anode surface and extracellular electron transfer (ETT) between microorganisms and the electrode. Herein, graphene/Au (G/Au) composites were used as a novel anode material for Shewanella-inoculated MFCs. The current generation and power density of the MFCs with a G/Au modified carbon paper (CP/G/Au) anode were significantly improved compared with a conventional carbon paper (CP) anode. This could be attributed to its large surface area, excellent conductivity and good biocompatibility for enhanced bacterial loading on the anode surface and improved EET efficiency between the microbe and the electrode.",4640,4644,Analytical Methods,7,11,,10.1039/c5ay00976f,Zhao
89,JOUR,"['Zhang, Yezhen; Mo, Guangquan; Li, Xuwen; Zhang, Wei-De; Zhang, Jiaqi; Ye, Jianshan; Huang, Xiaodan; Yu, Chengzhong']",A graphene modified anode to improve the performance of microbial fuel cells,2011,NA,5402,5407,Journal of Power Sources,196,13,,10.1016/j.jpowsour.2011.02.067,Zhang
90,JOUR,"['Shi, Ye; Ma, Chongbo; Peng, Lele; Yu, Guihua']",Conductive “Smart” Hybrid Hydrogels with PNIPAM and Nanostructured Conductive Polymers,2015,"Stimuli-responsive hydrogels with decent electrical properties are a promising class of polymeric materials for a range of technological applications, such as electrical, electrochemical, and biomedical devices. In this paper, thermally responsive and conductive hybrid hydrogels are synthesized by in situ formation of continuous network of conductive polymer hydrogels crosslinked by phytic acid in poly(N-isopropylacrylamide) matrix. The interpenetrating binary network structure provides the hybrid hydrogels with continuous transporting path for electrons, highly porous microstructure, strong interactions between two hydrogel networks, thus endowing the hybrid hydrogels with a unique combination of high electrical conductivity (up to 0.8 S m−1), high thermoresponsive sensitivity (significant volume change within several seconds), and greatly enhanced mechanical properties. This work demonstrates that the architecture of the filling phase in the hydrogel matrix and design of hybrid hydrogel structure play an important role in determining the performance of the resulting hybrid material. The attractive performance of these hybrid hydrogels is further demonstrated by the developed switcher device which suggests potential applications in stimuli-responsive electronic devices.",1219,1225,Advanced Functional Materials,25,8,,10.1002/adfm.201404247,Shi
91,JOUR,"['Yang, Wulin; Logan, Bruce E.']",Immobilization of a Metal–Nitrogen–Carbon Catalyst on Activated Carbon with Enhanced Cathode Performance in Microbial Fuel Cells,2016,"Applications of microbial fuel cells (MFCs) are limited in part by low power densities mainly due to cathode performance. Successful immobilization of an Fe-N-C co-catalyst on activated carbon (Fe-N-C/AC) improved the oxygen reduction reaction to nearly a four-electron transfer, compared to a twoelectron transfer achieved using AC. With acetate as the fuel, the maximum power density was 4.7±0.2 W m(-2) , which is higher than any previous report for an air-cathode MFC. With domestic wastewater as a fuel, MFCs with the Fe-N-C/AC cathode produced up to 0.8±0.03 W m(-2) , which was twice that obtained with a Pt-catalyzed cathode. The use of this Fe-N-C/AC catalyst can therefore substantially increase power production, and enable broader applications of MFCs for renewable electricity generation using waste materials.",2226,2232,ChemSusChem,9,16,,10.1002/cssc.201600573,Yang
92,JOUR,"['Logan, Bruce E.; Wallack, Maxwell J.; Kim, Kyoung Yeol; He, Weihua; Feng, Yujie; Saikaly, Pascal E.']",Assessment of Microbial Fuel Cell Configurations and Power Densities,2015,"Different microbial electrochemical technologies are being developed for many diverse applications, including wastewater treatment, biofuel production, water desalination, remote power sources, and biosensors. Current and energy densities will always be limited relative to batteries and chemical fuel cells, but these technologies have other advantages based on the self-sustaining nature of the microorganisms that can donate or accept electrons from an electrode, the range of fuels that can be used, and versatility in the chemicals that can be produced. The high cost of membranes will likely limit applications of microbial electrochemical technologies that might require a membrane. For microbial fuel cells, which do not need a membrane, questions about whether larger-scale systems can produce power densities similar to those obtained in laboratory-scale systems remain. It is shown here that configuration and fuel (pure chemicals in laboratory media vs actual wastewaters) remain the key factors in power pro...",206,214,Environmental Science & Technology Letters,2,8,,10.1021/acs.estlett.5b00180,Logan
93,JOUR,"['Modi, Akshay; Singh, Shiv Govind; Verma, Nishith']",In situ nitrogen-doping of nickel nanoparticle-dispersed carbon nanofiber-based electrodes: Its positive effects on the performance of a microbial fuel cell,2016,NA,620,627,Electrochimica Acta,190,NA,,10.1016/j.electacta.2015.12.191,Modi
94,JOUR,"['kumar, G. Gnana; Kirubaharan, C. Joseph; Udhayakumar, S.; Ramachandran, K.; Karthikeyan, C.; Renganathan, Rajalingam; Nahm, Kee Suk']","Synthesis, Structural, and Morphological Characterizations of Reduced Graphene Oxide-Supported Polypyrrole Anode Catalysts for Improved Microbial Fuel Cell Performances",2014,"The conductive polypyrrole (PPy)/reduced graphene oxide (rGO) composites were synthesized through simple, environmentally benign, time and cost efficient, in situ polymerization and bioreduction techniques. The pyrrole monomer effectively adsorbed over the negatively charged GO sheets through electrostatic and π–π interactions was polymerized into polypyrrole in its adsorbed state. The obtained morphological images of the rGO/PPy composite ensured that the entire surface of the active carbon support was covered by PPy. The removal of oxygen functionalities from GO with the aid of Ocimum tenuiflorum extract was ascertained through FT-IR and UV–vis absorption spectroscopic studies. The rGO/PPy composite exhibited higher electrocatalytic oxidation current as evidenced from the cyclic voltammetric analysis. The number of actives sites and continuous carrier channels of the rGO/PPy composite exhibited a maximum MFC power density of 1068 mW/m2, which is almost two-fold higher than that of bare PPy. The strong a...",2283,2290,ACS Sustainable Chemistry & Engineering,2,10,,10.1021/sc500244f,kumar
95,JOUR,"['Yaqoob, Asim Ali; Umar, Khalid; Ibrahim, Mohamad Nasir Mohamad']","Silver nanoparticles: various methods of synthesis, size affecting factors and their potential applications–a review",2020,NA,1369,1378,Applied Nanoscience,10,5,,10.1007/s13204-020-01318-w,Yaqoob
96,JOUR,"['Wang, Kaipeng; Liu, Yuwen; Chen, Shengli']",Improved microbial electrocatalysis with neutral red immobilized electrode,2011,NA,164,168,Journal of Power Sources,196,1,,10.1016/j.jpowsour.2010.06.056,Wang
97,JOUR,"['Hang, Minh; Ngo, Huu Hao; Guo, Wenshan; Liu, Yiwen; Chang, Soon Woong; Nguyen, Dinh Duc; Nghiem, Long D.; Ni, Bing-Jie']",Challenges in the application of microbial fuel cells to wastewater treatment and energy production: A mini review.,2018,NA,910,920,The Science of the total environment,639,NA,,10.1016/j.scitotenv.2018.05.136,Hang
98,JOUR,"['Xiao, Li; Damien, Jacqueline; Luo, Jiayan; Jang, Hee Dong; Huang, Jiaxing; He, Zhen']",Crumpled graphene particles for microbial fuel cell electrodes,2012,NA,187,192,Journal of Power Sources,208,NA,,10.1016/j.jpowsour.2012.02.036,Xiao
99,JOUR,"['Ren, Zhaodi; Meng, Nan; Shehzad, Khurram; Xu, Yang; Qu, Shaoxing; Yu, Bin; Luo, Jikui']",Mechanical properties of nickel-graphene composites synthesized by electrochemical deposition.,2015,"Graphene (Gr) nanosheets with multilayer structures were dispersed in a nickel (Ni) plating solution by using a surfactant with a magnetic stirring method. Gr nanosheets were incorporated into a Ni matrix through a plating process to form Ni-Gr composites on a target substrate. Gr nanosheets were uniformly dispersed in the Ni matrix, and the oxygen radicals present in the Gr were reduced during the electro-deposition process. The incorporation of Gr in the Ni matrix increases both the inter-planar spacing and the degree of preferred orientation of crystalline Ni. With the addition of Gr content as low as 0.05 g L−1, the elastic modulus and hardness of the Ni-Gr composites reach 240 GPa and 4.6 GPa, respectively, which are about 1.7 and 1.2 times that of the pure Ni deposited under the same condition. The enhancement in mechanical properties of the composites is attributed to the preferred formation of the Ni crystalline phases in its (111) plane, the high interaction between Ni and Gr and the prevention of the dislocation sliding in the Ni matrix by the Gr. The results suggest that the method of using Gr directly instead of graphene oxide (GO) is efficient and scalable.",065706,NA,Nanotechnology,26,6,,10.1088/0957-4484/26/6/065706,Ren
100,JOUR,"['Chen, Shuiliang; Patil, Sunil A.; Brown, Robert Keith; Schröder, Uwe']",Strategies for optimizing the power output of microbial fuel cells: Transitioning from fundamental studies to practical implementation,2019,NA,15,28,Applied Energy,233-234,NA,,10.1016/j.apenergy.2018.10.015,Chen
101,JOUR,"['Li, Denian; Deng, Lifang; Yuan, Haoran; Dong, Ge; Chen, Jian; Zhang, Xian; Chen, Yong; Yuan, Yong']","N, P-doped mesoporous carbon from onion as trifunctional metal-free electrode modifier for enhanced power performance and capacitive manner of microbial fuel cells",2018,NA,297,305,Electrochimica Acta,262,NA,,10.1016/j.electacta.2017.12.164,Li
102,JOUR,"['Larouche, François; Tedjar, Farouk; Amouzegar, Kamyab; Houlachi, Georges; Bouchard, Patrick; Demopoulos, George P.; Zaghib, Karim']",Progress and Status of Hydrometallurgical and Direct Recycling of Li-Ion Batteries and Beyond.,2020,"An exponential market growth of Li-ion batteries (LIBs) has been observed in the past 20 years; approximately 670,000 tons of LIBs have been sold in 2017 alone. This trend will continue owing to the growing interest of consumers for electric vehicles, recent engagement of car manufacturers to produce them, recent developments in energy storage facilities, and commitment of governments for the electrification of transportation. Although some limited recycling processes were developed earlier after the commercialization of LIBs, these are inadequate in the context of sustainable development. Therefore, significant efforts have been made to replace the commonly employed pyrometallurgical recycling method with a less detrimental approach, such as hydrometallurgical, in particular sulfate-based leaching, or direct recycling. Sulfate-based leaching is the only large-scale hydrometallurgical method currently used for recycling LIBs and serves as baseline for several pilot or demonstration projects currently under development. Conversely, most project and processes focus only on the recovery of Ni, Co, Mn, and less Li, and are wasting the iron phosphate originating from lithium iron phosphate (LFP) batteries. Although this battery type does not dominate the LIB market, its presence in the waste stream of LIBs causes some technical concerns that affect the profitability of current recycling processes. This review explores the current processes and alternative solutions to pyrometallurgy, including novel selective leaching processes or direct recycling approaches.",801,NA,"Materials (Basel, Switzerland)",13,3,,10.3390/ma13030801,Larouche
103,JOUR,"['Zhang, Baogang; Zhou, Shungui; Zhao, Hua-Zhang; Shi, Chunhong; Kong, Ling-Cai; Sun, Juan-Juan; Yang, Yang; Ni, Jinren']",Factors affecting the performance of microbial fuel cells for sulfide and vanadium (V) treatment,2009,NA,187,194,Bioprocess and biosystems engineering,33,2,,10.1007/s00449-009-0312-2,Zhang
104,JOUR,"['Nitisoravut, Rachnarin; Thanh, Cao N. D.; Regmi, Roshan']",Microbial fuel cells: Advances in electrode modifications for improvement of system performance,2017,"ABSTRACTThere is an increasing trend to conduct the researches related to Microbial Fuel Cells (MFCs) in the recent years. Limited power output has been the major obstacle for the practical application and upscaling of MFCs. Attempts have been made on electrode modifications such as anode treatments, cathode modifications with catalysts and bio cathodes developments to produce varying degrees of improved output current depending upon the types of modifications. Power density and Coulombic efficiency have been considered as the important parameters to analyze the system performances. This paper overviews on the advances made in MFCs’ researches focusing on different types of electrodes modifications along with the involved methodology. Furthermore, the system performances of different modified MFCs are compared in terms of the power density and the Coulombic efficiency.",712,723,International Journal of Green Energy,14,8,,10.1080/15435075.2017.1326049,Nitisoravut
105,JOUR,"['Gao, Yang']",Graphene and Polymer Composites for Supercapacitor Applications: a Review,2017,"Supercapacitors, as one of the energy storage devices, exhibit ultrahigh capacitance, high power density, and long cycle. High specific surface area, mechanical and chemical stability, and low cost are often required for supercapacitor materials. Graphene, as a new emerging carbon material, has attracted a lot of attention in energy storage field due to its intrinsic properties. Polymers are often incorporated into graphene for a number of enhanced or new properties as supercapacitors. In this paper, different polymers which are used to form composite materials for supercapacitor applications are reviewed. The functions, strategies, and the enhanced properties of graphene and polymer composites are discussed. Finally, the recent development of graphene and polymers for flexible supercapacitors are also discussed.",387,387,Nanoscale research letters,12,1,,10.1186/s11671-017-2150-5,Gao
106,JOUR,"['Zhou, Minghua; Chi, Meiling; Luo, Jianmei; He, Huanhuan; Jin, Tao']",An overview of electrode materials in microbial fuel cells,2011,NA,4427,4435,Journal of Power Sources,196,10,,10.1016/j.jpowsour.2011.01.012,Zhou
107,JOUR,"['Singh, Shiv Govind; Bairagi, Pallab Kumar; Verma, Nishith']",Candle soot-derived carbon nanoparticles: An inexpensive and efficient electrode for microbial fuel cells,2018,NA,119,127,Electrochimica Acta,264,NA,,10.1016/j.electacta.2018.01.110,Singh
108,JOUR,"['Shi, Ji-Lei; Qi, Ran; Zhang, Xu-Dong; Wang, Peng-Fei; Fu, Wei-Gui; Yin, Ya-Xia; Xu, Jian; Wan, Li-Jun; Guo, Yu-Guo']",High-Thermal- and Air-Stability Cathode Material with Concentration-Gradient Buffer for Li-Ion Batteries.,2017,"Delivery of high capacity with high thermal and air stability is a great challenge in the development of Ni-rich layered cathodes for commercialized Li-ion batteries (LIBs). Herein we present a surface concentration-gradient spherical particle with varying elemental composition from the outer end LiNi1/3Co1/3Mn1/3O2 (NCM) to the inner end LiNi0.8Co0.15Al0.05O2 (NCA). This cathode material with the merit of NCM concentration-gradient protective buffer and the inner NCA core shows high capacity retention of 99.8% after 200 cycles at 0.5 C. Furthermore, this cathode material exhibits much improved thermal and air stability compared with bare NCA. These results provide new insights into the structural design of high-performance cathodes with high energy density, long life span, and storage stability materials for LIBs in the future.",42829,42835,ACS applied materials & interfaces,9,49,,10.1021/acsami.7b14684,Shi
109,JOUR,"['Wang, Yun-Hai; Wang, Bai-Shi; Pan, Bin; Chen, Qing-Yun; Yan, Wei']",Electricity production from a bio-electrochemical cell for silver recovery in alkaline media,2013,NA,1337,1341,Applied Energy,112,NA,,10.1016/j.apenergy.2013.01.012,Wang
110,JOUR,"['Sun, Jian; Bi, Zhe; Hou, Bin; Cao, Yun-qing; Hu, Yongyou']",Further treatment of decolorization liquid of azo dye coupled with increased power production using microbial fuel cell equipped with an aerobic biocathode.,2010,NA,283,291,Water research,45,1,,10.1016/j.watres.2010.07.059,Sun
111,CHAP,"['Ibrahim, Nurazim; Zainal, Sharifah Farah Fariza Syed; Aziz, Hamidi Abdul']",Application of UV-Based Advanced Oxidation Processes in Water and Wastewater Treatment,2019,"<jats:p>The presence of hazardous micropollutants in water and wastewater is one of the main concerns in water management system. This micropollutant exists in a low concentration, but there are possible hazards to humans and organisms living in the water. Moreover, its character that is recalcitrant to microbiological degradation makes it difficult to deal with. Advanced oxidation processes (AOPs) are efficient methods to remove low concentration micropollutants. AOPs are a set of processes consisting the production of very reactive oxygen species which able to destroy a wide range of organic compounds. The main principal mechanism in UV-based radical AOP treatment processes is the use ultraviolet light to initiate generation of hydroxyl radicals used to destroy persistent organic pollutants. Therefore, this chapter presents an overview on the principle of radical oxidant species generation and degradation mechanism by various type of UV based AOP in treating contaminants present in water and wastewater. The current application and possible improvement of the technology is also presented in this chapter.</jats:p>",384,414,Advances in Environmental Engineering and Green Technologies,NA,NA,,10.4018/978-1-5225-5766-1.ch014,Ibrahim
112,JOUR,"['Torabiyan, A.; Bidhendi, Gh.R. Nabi; Mehrdadi, Nasser; Javadi, Kh.']",Application of Nano-Electrode Platinum (Pt) and Nano-Wire Titanium (Ti) for Increasing Electrical Energy Generation in Microbial Fuel Cells of Synthetic Wastewater with Carbon Source (Acetate),2014,"The microbial fuel cells (MFCs) are a kind of systems through which the anaerobic bacteriaalong with the oxidation of simple or complicated organic matter in the wastewater can generate the electricpower. This is a modern approach used in generation of the clean and renewable energy. In this research, two pilot laboratories of double-chamber microbial fuel cells were made. One of them contained platinum electrode and simple nano-wire Titanium and the other had nano-electrode Platinum and nano-wire with equal volume of 1 liter. They were launched in 4 Hydraulic Retention Time (2.5, 3.5, 4.5 and 5.5 hrs.) and increased in 4 steps of organic loading rate with synthetic wastewater with carbon source (acetate) and temperature (20±5°C). The voltage and electric current was measured by means of digital multimetre. The performance of the two reactors in generation of electricity was investigated based on the polarization curve. Maximum voltage and current output were, respectively, 1425 mV and 13.1 mA, and the maximum power density and current density were, respectively 78 mW/m2 and 67.3 mA/m2 and columbic efficiency were achieved in 34.6% in mreactor with nano-electrode Platinum and nano-wire Titanium (in HRT 4.5 hr and external resistance was 100Ω). In addition, the maximum removal rate of COD in organic loading rate 3.99 Kg COD/m3.day is equal to 98.28% for nano-electric and nano-wire and 72.5% for simple electrode and wire.",453,460,International Journal of Environmental Research,8,2,,NA,Torabiyan
113,JOUR,"['Fernando, Eustace; Keshavarz, Taj; Kyazze, Godfrey']",Enhanced bio-decolourisation of acid orange 7 by Shewanella oneidensis through co-metabolism in a microbial fuel cell,2012,NA,1,9,International Biodeterioration & Biodegradation,72,NA,,10.1016/j.ibiod.2012.04.010,Fernando
114,JOUR,"['Stariha, Sarah; Artyushkova, Kateryna; Serov, Alexey; Atanassov, Plamen']",Non-PGM membrane electrode assemblies: Optimization for performance,2015,"Abstract The performance of non-platinum group metals (non-PGM) iron–nitrogen–carbon (Fe–N–C) based cathode in fuel cell operation conditions was studied. The effect of Nafion to catalyst ratio as well as carbon additives on the activity was studied. It was found that ionomer plays a key role in proton and water transport within the MEA. To compensate intrinsic low electronic conductivity of Fe–N–C materials additional carbons such as Vulcan XC72R, Ketjen Black 600 EC, and carbon nanotubes (CNTs) were added to MEA inks. X-ray Phototelectron Spectroscopy studied the effect of these carbon additives on chemical composition of catalysts. It was determined that inks with 35 wt% of Nafion ionomer resulted in the optimal performance of the Fe–N–C cathode catalyst in the air.",14676,14682,International Journal of Hydrogen Energy,40,42,,10.1016/j.ijhydene.2015.05.185,Stariha
115,JOUR,"['Rusli, Siti Farah Nadiah; Abu Bakar, Mimi Hani; Loh, Kee Shyuan; Mastar, Mohd Shahbudin']",Review of high-performance biocathode using stainless steel and carbon-based materials in Microbial Fuel Cell for electricity and water treatment,2019,NA,30772,30787,International Journal of Hydrogen Energy,44,58,,10.1016/j.ijhydene.2018.11.145,Rusli
116,JOUR,"['Kodali, Mounika; Gokhale, Rohan; Santoro, Carlo; Serov, Alexey; Artyushkova, Kateryna; Atanassov, Plamen']",High Performance Platinum Group Metal-Free Cathode Catalysts for Microbial Fuel Cell (MFC),2016,"© The Author(s) 2016. The oxygen reduction reaction (ORR) at the cathode is usually the limiting step in microbial fuel cells and improvements have to be done to increase the performances and reduce the cost. For the first time, iron-based catalysts were synthesized utilizing the polymerization-pyrolysis method and tested successfully in neutral media and in working microbial fuel cells (MFCs). The catalysts were synthesized using polymerization, salt formation, mixed with iron salt and pyrolyzed at 850°C (PABA-850) and 950°C (PABA- 950) respectively. To study the kinetics, electro-activity of the catalysts was investigated using rotating ring disk electrode (RRDE). Results showed that PABA-850 had higher catalytic activity compared to that of PABA-950. Both Fe-catalysts had much better activity compared to activated carbon (AC) used as a baseline. Catalysts were then integrated into air breathing cathodes (loading 1 mg cm-2) and tested in single chamber MFC. The power peak obtained was 178 ± 3 μWcm-2 for PABA-850. Comparable power was produced from PABA-950 (173 ± 3 μWcm-2). AC power output was 131 ± 4 μWcm-2 that was roughly 40% lower compared to Fe-based catalysts. Those results demonstrated that the addition of platinum group metal free (PGM-free) catalysts increased the output of the MFCs substantially. Fe-based catalysts seem to be suitable for large-scale MFC applications.",H3041,H3046,Journal of The Electrochemical Society,164,3,,10.1149/2.0061703jes,Kodali
117,JOUR,"['Tang, Jiahuan; Chen, Shanshan; Yuan, Yong; Cai, Xixi; Zhou, Shungui']",In situ formation of graphene layers on graphite surfaces for efficient anodes of microbial fuel cells.,2015,NA,387,395,Biosensors & bioelectronics,71,NA,,10.1016/j.bios.2015.04.074,Tang
118,JOUR,"['Verma, Vivek; Kumar, Sonal; Manalastas, William; Satish, Rohit; Srinivasan, Madhavi']",Progress in Rechargeable Aqueous Zinc- and Aluminum-Ion Battery Electrodes: Challenges and Outlook,2018,"<jats:title>Abstract</jats:title><jats:p>Modern cities demand a reliable supply of electricity when and where it is needed, therefore a key design for power generators feeding on noncontinuous, nonfuel renewables is installing auxiliary battery‐type energy storage systems (BESS). Batteries using Zn ions or Al ions in aqueous electrolytes are highly attractive due to low cost and elemental abundance considerations, but attaining reversibility at a high energy density and long‐life operation is challenging. Here, the authors review recent reports of reversible aqueous‐electrolyte batteries, focusing on how mechanisms of electrochemical activation, insertion, and conversion occur. Further, key issues related to cation mobility, electrode stability, the formation of electrode–electrolyte interface, and electrolyte decomposition, along with possible solutions or research directions for enabling superior performance of aqueous Zn‐ion batteries and Al‐ion batteries are explored.</jats:p>",1800111,NA,Advanced Sustainable Systems,3,1,,10.1002/adsu.201800111,Verma
119,JOUR,"['Huang, Lihua; Li, Xiufen; Ren, Yueping; Wang, Xinhua']",A monolithic three-dimensional macroporous graphene anode with low cost for high performance microbial fuel cells,2016,"Microbial fuel cells (MFCs), capable of simultaneously degrading substrates and producing bioelectricity, have drawn great attention. However, low power output and high cost have severely hindered their practical application. The present study prepared a monolithic three-dimensional graphene (3D-G) electrode through a self-assembly method. The as-prepared 3D-G electrode featured inflexibility, a crumpled surface, a macroporous structure (with pore spaces of dozens of microns), high specific surface area (188.32 m2 g−1), good conductivity and low cost, favoring high bacterial loading capacity and enhancing the extracellular electron transfer (EET) efficiency. Equipped with the prepared 3D-G anode in an air-cathode single chamber MFC reactor, the maximum power density (Pmax) increased to 1516 ± 87 mW m−2 in the 3D-G reactor from 877 ± 57 mW m−2 in the graphite felt (GF) control and from 584 ± 39 mW m−2 in the carbon cloth (CC) control after 2 weeks of operation. Moreover, the Pmax of the reactor with the 3D-G anode decreased only by 15% after 2 months of operation, which showed durability of the anode due to having macropores which are not easily blocked. Normalized to the cost of the anode, the Pmax in the 3D-G reactor was 93 and 133 times those in the GF and CC reactors, respectively. Dynamic analysis results (CV, Tafel and EIS) showed that the 3D-G anode improved the efficiency of EET due to having an appropriate structure and good conductivity. The 3D-G anode, with superior performance and low cost, would powerfully promote the practical and large-scale application of MFCs.",21001,21010,RSC Advances,6,25,,10.1039/c5ra24718g,Huang
120,JOUR,"['Tsai, Hung-Yin; Wu, Chen-Chang; Lee, Chi-Yuan; Shih, Eric Pierre']",Microbial fuel cell performance of multiwall carbon nanotubes on carbon cloth as electrodes,2009,NA,199,205,Journal of Power Sources,194,1,,10.1016/j.jpowsour.2009.05.018,Tsai
121,JOUR,"['Sonawane, Jayesh M.; Yadav, Abhishek; Ghosh, Prakash C.; Adeloju, Samuel B O']",Recent advances in the development and utilization of modern anode materials for high performance microbial fuel cells,2016,NA,558,576,Biosensors & bioelectronics,90,NA,,10.1016/j.bios.2016.10.014,Sonawane
122,JOUR,"['Akbari, Elnaz; Buntat, Zolkafle']",Benefits of using carbon nanotubes in fuel cells: a review,2016,"Summary A carbon nanotube (CNT) is a nanoscale cylindrical tube formed from a single atomic layer of carbon atoms. CNTs are known to possess several unique characteristics, including high thermal and electrical conductivity, superior mechanical strength and chemical stability, as well as a high surface area. These characteristics, in addition to the fundamental advantages of being a carbon material, cause CNTs to be a favorable candidate for fuel cell applications. In this current assessment, past findings in relation to CNTs are summarized. Additionally, future prospects for microscopic study of CNTs are also presented. Copyright © 2016 John Wiley & Sons, Ltd.",92,102,International Journal of Energy Research,41,1,,10.1002/er.3600,Akbari
123,JOUR,"['Zhang, Fang; Cheng, Shaoan; Pant, Deepak; Van Bogaert, Gilbert; Logan, Bruce E.']",Power generation using an activated carbon and metal mesh cathode in a microbial fuel cell,2009,"An inexpensive activated carbon (AC) air cathode was developed as an alternative to a platinum-catalyzed electrode for oxygen reduction in a microbial fuel cell (MFC). AC was cold-pressed with a polytetrafluoroethylene (PTFE) binder to form the cathode around a Ni mesh current collector. This cathode construction avoided the need for carbon cloth or a metal catalyst, and produced a cathode with high activity for oxygen reduction at typical MFC current densities. Tests with the AC cathode produced a maximum power density of 1220 mW/m 2 (normalized to cathode projected surface area; 36 W/m 3 based on liquid volume) compared to 1060 mW/m 2 obtained by Pt catalyzed carbon cloth cathode. The Coulombic efficiency ranged from 15% to 55%. These findings show that AC is a cost-effective material for achieving useful rates of oxygen reduction in air cathode MFCs.",2177,2179,Electrochemistry Communications,11,11,,10.1016/j.elecom.2009.09.024,Zhang
124,JOUR,"['Zhang, Jun; Li, Jun; Ye, Dingding; Zhu, Xun; Liao, Qiang; Zhang, Biao']",Tubular bamboo charcoal for anode in microbial fuel cells,2014,NA,277,282,Journal of Power Sources,272,NA,,10.1016/j.jpowsour.2014.08.115,Zhang
125,JOUR,"['Choudhury, Payel; Uday, Uma Shankar Prasad; Bandyopadhyay, Tarun Kanti; Ray, Rup Narayan; Bhunia, Biswanath']",Performance improvement of microbial fuel cell (MFC) using suitable electrode and Bioengineered organisms: A review.,2017,"There is an urgent need to find an environment friendly and sustainable technology for alternative energy due to rapid depletion of fossil fuel and industrialization. Microbial Fuel Cells (MFCs) have operational and functional advantages over the current technologies for energy generation from organic matter as it directly converts electricity from substrate at ambient temperature. However, MFCs are still unsuitable for high energy demands due to practical limitations. The overall performance of an MFC depends on microorganism, appropriate electrode materials, suitable MFC designs, and optimizing process parameters which would accelerate commercialization of this technology in near future. In this review, we put forth the recent developments on microorganism and electrode material that are critical for the generation of bioelectricity generation. This would give a comprehensive insight into the characteristics, options, modifications, and evaluations of these parameters and their effects on process development of MFCs.",471,487,Bioengineered,8,5,,10.1080/21655979.2016.1267883,Choudhury
126,JOUR,"['Behera, Manaswini; Jana, Partha S.; Ghangrekar, Makarand M.']",Performance evaluation of low cost microbial fuel cell fabricated using earthen pot with biotic and abiotic cathode,2009,NA,1183,1189,Bioresource technology,101,4,,10.1016/j.biortech.2009.07.089,Behera
127,JOUR,"['Wang, Zhongli; Zhang, Baogang; Jiang, Yufeng; Li, Yunlong; He, Chao']",Spontaneous thallium (I) oxidation with electricity generation in single-chamber microbial fuel cells,2018,NA,33,42,Applied Energy,209,NA,,10.1016/j.apenergy.2017.10.075,Wang
128,JOUR,"['Heijne, Annemiek ter; Hamelers, Hubertus V.M.; Saakes, Michel; Buisman, Cees J.N.']",Performance of non-porous graphite and titanium-based anodes in microbial fuel cells,2008,NA,5697,5703,Electrochimica Acta,53,18,,10.1016/j.electacta.2008.03.032,Heijne
129,JOUR,"['Sun, Haishu; Xu, Shengjun; Zhuang, Guoqiang; Zhuang, Xuliang']",Performance and recent improvement in microbial fuel cells for simultaneous carbon and nitrogen removal: A review.,2016,"Microbial fuel cells (MFCs) have become a promising technology for wastewater treatment accompanying electricity generation. Carbon and nitrogen removal can be achieved by utilizing the electron transfer between the anode and cathode in an MFC. However, large-scale power production and high removal efficiency must be achieved at a low cost to make MFCs practical and economically competitive in the future. This article reviews the principles, feasibility and bottlenecks of MFCs for simultaneous carbon and nitrogen removal, the recent advances and prospective strategies for performance improvement, as well as the involved microbes and electron transfer mechanisms.",242,248,Journal of environmental sciences (China),39,1,,10.1016/j.jes.2015.12.006,Sun
130,JOUR,"['You, Shijie; Ren, Nanqi; Zhao, Q. L.; Wang, Jing-Yuan; Yang, Fenglin']",Power Generation and Electrochemical Analysis of Biocathode Microbial Fuel Cell Using Graphite Fibre Brush as Cathode Material,2009,"To improve cathodic efficiency and sustainability of microbial fuel cell (MFC), graphite fibre brush (GFB) was examined as cathode material for power production in biocatalysed-cathode MFC. Following 133-h mixed culturing of electricity-producing bacteria, the MFC could generate a reproducible voltage of 0.4 V at external resistance (REX) of 100 Ω. Maximum volumetric power density of 68.4 W m–3 was obtained at a current density of 178.6 A m–3. Upon aerobic inoculation of electrochemically active bacteria, charge transfer resistance of the cathode was decreased from 188 to 17 Ω as indicated by electrochemical impedance spectroscopy (EIS) analysis. Comparing investigations of different cathode materials demonstrated that biocatalysed GFB had better performance in terms of half-cell polarisation, power and Coulombic efficiency (CE) over other tested materials. Additionally, pH deviation of electrolyte in anode and cathode was also observed. This study provides a demonstration of GFB used as biocathode material in MFC for more efficient and sustainable electricity recovery from organic substances.",588,596,Fuel Cells,9,5,,10.1002/fuce.200900023,You
